Time,Sales Rank,New Price,List Price
"6/5/2018, 7:46:53 PM","","",""
"7/3/2018, 5:04:00 PM","","9.99","9.99"
"7/14/2018, 7:37:10 PM","7606","9.99","9.99"
"7/16/2018, 12:48:29 AM","23478","9.99","9.99"
"7/16/2018, 4:32:23 PM","32766","9.99","9.99"
"7/18/2018, 8:21:46 PM","15800","9.99","9.99"
"7/20/2018, 3:06:16 PM","8253","9.99","9.99"
"7/21/2018, 1:37:23 PM","6028","9.99","9.99"
"7/22/2018, 6:31:23 PM","4937","9.99","9.99"
"7/24/2018, 6:43:39 AM","14908","9.99","9.99"
"7/25/2018, 1:10:54 PM","23464","9.99","9.99"
"7/27/2018, 11:07:52 PM","36256","9.99","9.99"
"7/29/2018, 6:55:31 PM","9591","9.99","9.99"
"7/29/2018, 9:41:37 PM","9871","9.99","9.99"
"7/30/2018, 4:03:07 PM","3256","9.99","9.99"
"7/31/2018, 7:35:59 AM","8435","9.99","9.99"
"8/1/2018, 3:33:30 AM","5485","9.99","9.99"
"8/1/2018, 4:04:40 PM","12657","9.99","9.99"
"8/2/2018, 7:08:56 PM","19121","9.99","9.99"
"8/3/2018, 1:50:55 PM","21685","9.99","9.99"
"8/4/2018, 3:42:43 PM","28049","9.99","9.99"
"8/7/2018, 4:12:15 PM","13210","9.99","9.99"
"8/10/2018, 6:43:24 PM","32230","9.99","9.99"
"8/13/2018, 11:08:19 PM","16033","9.99","9.99"
"8/16/2018, 9:12:09 AM","29841","9.99","9.99"
"8/19/2018, 10:06:52 AM","42021","10.99","10.99"
"8/19/2018, 6:34:50 PM","42910","10.99","10.99"
"8/22/2018, 11:48:29 PM","7498","10.99","10.99"
"8/23/2018, 7:20:53 AM","8575","10.99","10.99"
"8/23/2018, 7:28:00 PM","14603","10.99","10.99"
"8/24/2018, 11:57:24 AM","18113","10.99","10.99"
"8/24/2018, 10:05:09 PM","21631","10.99",""
"8/25/2018, 1:34:15 AM","21308","10.99","10.99"
"8/25/2018, 2:19:08 AM","21523","10.99",""
"8/25/2018, 6:52:03 AM","22302","10.99",""
"8/25/2018, 11:23:04 AM","24392","10.99",""
"8/25/2018, 3:53:28 PM","25979","10.99",""
"8/25/2018, 5:23:38 PM","26009","10.99","10.99"
"8/25/2018, 8:22:39 PM","27290","10.99",""
"8/26/2018, 12:55:05 AM","27469","10.99",""
"8/26/2018, 5:26:54 AM","28107","10.99",""
"8/26/2018, 7:56:43 AM","29568","10.99","10.99"
"8/26/2018, 10:10:15 AM","29917","10.99",""
"8/26/2018, 2:55:42 PM","32905","10.99",""
"8/26/2018, 7:34:06 PM","34366","10.99",""
"8/26/2018, 9:51:09 PM","34416","10.99","10.99"
"8/27/2018, 12:18:44 AM","34354","10.99",""
"8/27/2018, 4:58:05 AM","34687","10.99",""
"8/27/2018, 10:06:34 AM","35929","10.99",""
"8/27/2018, 12:04:08 PM","36029","10.99","10.99"
"8/27/2018, 1:16:27 PM","37988","10.99","10.99"
"8/27/2018, 3:18:32 PM","38201","10.99",""
"8/27/2018, 8:12:49 PM","39531","10.99",""
"8/27/2018, 11:20:24 PM","39416","10.99",""
"8/28/2018, 2:41:19 AM","39266","10.99",""
"8/28/2018, 3:18:50 AM","39403","10.99","10.99"
"8/28/2018, 5:56:01 AM","39460","10.99",""
"8/28/2018, 8:56:33 AM","40259","10.99",""
"8/28/2018, 11:57:43 AM","40529","10.99",""
"8/28/2018, 2:59:01 PM","42772","10.99",""
"8/28/2018, 5:59:55 PM","43598","10.99",""
"8/28/2018, 6:24:46 PM","42855","10.99","10.99"
"8/28/2018, 9:00:44 PM","44353","10.99",""
"8/29/2018, 12:01:31 AM","44288","10.99",""
"8/29/2018, 3:03:06 AM","44244","10.99",""
"8/29/2018, 5:00:00 AM","45350","10.99","10.99"
"8/29/2018, 6:14:34 AM","44718","10.99",""
"8/29/2018, 9:16:49 AM","45234","10.99",""
"8/29/2018, 12:18:05 PM","46083","10.99",""
"8/29/2018, 3:18:41 PM","46560","10.99",""
"8/29/2018, 6:19:51 PM","5047","10.99",""
"8/29/2018, 7:52:48 PM","6005","10.99","10.99"
"8/29/2018, 8:21:05 PM","5887","10.99",""
"8/29/2018, 10:23:43 PM","6555","10.99",""
"8/30/2018, 12:24:44 AM","6810","10.99",""
"8/30/2018, 2:25:50 AM","7234","10.99",""
"8/30/2018, 4:28:47 AM","8916","10.99",""
"8/30/2018, 6:38:58 AM","9722","10.99",""
"8/30/2018, 8:40:04 AM","11196","10.99",""
"8/30/2018, 10:02:19 AM","12130","10.99","10.99"
"8/30/2018, 10:43:01 AM","12010","10.99",""
"8/30/2018, 12:46:57 PM","14295","10.99",""
"8/30/2018, 2:50:51 PM","15466","10.99",""
"8/30/2018, 4:51:44 PM","17714","10.99",""
"8/30/2018, 6:52:53 PM","18385","10.99",""
"8/30/2018, 8:53:52 PM","19162","10.99",""
"8/30/2018, 10:55:00 PM","19659","10.99",""
"8/30/2018, 10:59:09 PM","19659","10.99","10.99"
"8/31/2018, 12:55:53 AM","19795","10.99",""
"8/31/2018, 2:57:31 AM","20061","10.99",""
"8/31/2018, 6:07:45 AM","21812","10.99",""
"8/31/2018, 9:08:34 AM","22942","10.99",""
"8/31/2018, 12:10:03 PM","24615","10.99",""
"8/31/2018, 2:03:33 PM","26566","10.99","10.99"
"8/31/2018, 3:17:50 PM","26809","10.99",""
"8/31/2018, 6:18:47 PM","27815","10.99",""
"8/31/2018, 8:48:52 PM","28579","10.99","10.99"
"8/31/2018, 9:23:33 PM","28868","10.99",""
"9/1/2018, 12:26:52 AM","29018","10.99",""
"9/1/2018, 3:31:42 AM","29385","10.99",""
"9/1/2018, 6:45:06 AM","30354","10.99",""
"9/1/2018, 9:51:08 AM","31777","10.99",""
"9/1/2018, 11:29:02 AM","32968","10.99","10.99"
