Date_Time,Brand,Sales Rank,Market_Share,Market_Share_Percentage
01/05/2018,Onco,44700.875,1.0,100.0
01/06/2018,Onco,49668.333333333336,1.0,100.0
01/07/2018,Onco,67959.72727272728,1.0,100.0
01/08/2018,Onco,68386.10256410256,1.0,100.0
01/09/2018,Onco,33372.59872611465,1.0,100.0
01/10/2018,Onco,43584.115942028984,1.0,100.0
01/11/2018,Onco,56816.75555555556,1.0,100.0
01/12/2018,Onco,68564.77894736842,1.0,100.0
01/01/2019,Onco,32232.18181818182,1.0,100.0
01/02/2019,Onco,64561.0990990991,1.0,100.0
01/03/2019,Onco,59351.27272727273,1.0,100.0
01/04/2019,Onco,70616.65714285715,1.0,100.0
01/05/2019,Onco,27083.863636363636,1.0,100.0
01/06/2019,Onco,29791.408163265307,1.0,100.0
01/07/2019,Onco,28398.698224852073,1.0,100.0
01/08/2019,Onco,47593.84761904762,1.0,100.0
01/09/2019,Onco,37362.75362318841,1.0,100.0
01/10/2019,Onco,62772.99099099099,1.0,100.0
01/11/2019,Onco,35853.11392405063,1.0,100.0
01/12/2019,Onco,23788.933333333334,1.0,100.0
01/01/2020,Onco,33802.55434782609,1.0,100.0
01/02/2020,Onco,63534.40875912409,1.0,100.0
01/03/2020,Onco,52057.90677966102,1.0,100.0
01/04/2020,Onco,64994.957627118645,1.0,100.0
01/05/2020,Onco,30043.16346153846,1.0,100.0
01/06/2020,Onco,15419.654867256637,1.0,100.0
01/07/2020,Onco,11418.291666666666,1.0,100.0
01/08/2020,Onco,25557.869565217392,1.0,100.0
01/09/2020,Onco,13812.539130434783,1.0,100.0
01/10/2020,Onco,12278.917355371901,1.0,100.0
01/11/2020,Onco,456.3672316384181,1.0,100.0
01/12/2020,Onco,864.9705882352941,1.0,100.0
01/01/2021,Onco,9363.634146341463,1.0,100.0
01/02/2021,Onco,6338.0298507462685,1.0,100.0
01/03/2021,Onco,151.84297520661158,1.0,100.0
01/04/2021,Onco,74.53472222222223,1.0,100.0
01/05/2021,Onco,933.2026143790849,1.0,100.0
01/06/2021,Onco,337.6306306306306,1.0,100.0
01/07/2021,Onco,62.756410256410255,1.0,100.0
01/08/2021,Onco,42.97841726618705,1.0,100.0
01/09/2021,Onco,92.0909090909091,1.0,100.0
01/10/2021,Onco,116.85889570552148,1.0,100.0
01/11/2021,Onco,72.55445544554455,1.0,100.0
01/12/2021,Onco,105.9090909090909,1.0,100.0
01/01/2022,Onco,47.74285714285714,1.0,100.0
01/02/2022,Onco,35.69767441860465,1.0,100.0
01/03/2022,Onco,34.58278145695364,1.0,100.0
01/04/2022,Onco,35.25735294117647,1.0,100.0
01/05/2022,Onco,36.699186991869915,1.0,100.0
01/06/2022,PERMUST,4917.032258064516,1.0055849823674632,0.555396357880611
01/06/2022,Onco,27.46153846153846,180.051594831481,99.4446036421194
01/07/2022,PERMUST,18689.29411764706,1.0019334980796089,0.19297668790540376
01/07/2022,Onco,36.135714285714286,518.1973070706837,99.80702331209459
01/08/2022,PERMUST,4716.388429752066,1.0061453528265196,0.6107818129116124
01/08/2022,Onco,28.983870967741936,163.72458689183532,99.38921818708839
01/09/2022,PERMUST,2138.509090909091,1.01852476792537,1.8187842366467846
01/09/2022,Onco,39.61538461538461,54.98178287731687,98.18121576335321
01/10/2022,Onco,58.67289719626168,57.847182400622984,98.27130733339014
01/10/2022,PERMUST,3335.3888888888887,1.0175910213623716,1.7286926666098614
01/11/2022,PERMUST,5218.436090225564,1.0189282074778405,1.8576586003732056
01/11/2022,Onco,98.77564102564102,53.83120449576143,98.14234139962679
01/12/2022,PERMUST,6065.0,1.0142676559494368,1.4066953496689172
01/12/2022,Onco,86.53333333333333,71.08859784283514,98.59330465033108
01/01/2023,PERMUST,1903.0,1.0330747117554326,3.2015798450076294
01/01/2023,Onco,62.94117647058823,31.234579439252343,96.79842015499237
01/02/2023,PERMUST,2221.342105263158,1.0215041689566182,2.1051474492348823
01/02/2023,Onco,47.768115942028984,47.50261082013286,97.89485255076512
01/03/2023,PERMUST,920.4,1.058670143415906,5.541871921182265
01/03/2023,Onco,54.0,18.044444444444444,94.45812807881774
